Record ID,File Name,Assignment ID,Year,Person,Keywords,Creators,Date
207907734,HPR-EditorialExcellence2017-150.jpg,CPR6931p,2017-04-06,"Arianna Huffington,Joey Bartomoleo","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907735,HPR-EditorialExcellence2017-114.jpg,CPR6931p,2017-04-06,Arianna Huffington,"People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907737,HPR-EditorialExcellence2017-131.jpg,CPR6931p,2017-04-06,Arianna Huffington,"People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907738,HPR-EditorialExcellence2017-018.jpg,CPR6931p,2017-04-06,"Ellen Levine,David Carey,Judith Bookbinder","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines,Ellen Levine,David Carey",,
207907739,HPR-EditorialExcellence2017-039.jpg,CPR6931p,2017-04-06,"Maile Carpenter,Sara Peterson","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907740,HPR-EditorialExcellence2017-146.jpg,CPR6931p,2017-04-06,Arianna Huffington,"People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907741,HPR-EditorialExcellence2017-276.jpg,CPR6931p,2017-04-06,"Joey Bartomoleo,Wendy Robison","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907742,HPR-EditorialExcellence2017-135.jpg,CPR6931p,2017-04-06,"Arianna Huffington,Maile Carpenter","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907743,HPR-EditorialExcellence2017-147.jpg,CPR6931p,2017-04-06,"Arianna Huffington,Joey Bartolomeo","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907744,HPR-EditorialExcellence2017-094.jpg,CPR6931p,2017-04-06,Dan Bucatinsky,"People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
